,Rank_Grupo,Produto,Grupo,Marca,Quantidade,Custo_Total,%_Valor_no_Grupo,Dias,Ult_Compra,Ult_Venda,Faixa_Obsolescencia,Score_Priorizacao,Classificacao_ABC,Acao_Sugerida
1333,1,"TELA SOLDADA Q92 2,45 X 3M 15x15CM PC (17262)",FERR - TELA/GRADE - ART/PRATICA,,13,"R$ -0,00",100.0%,9586,17/05/2024,01/01/2000,Crítico,100.0%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
1061,1,QUARTZOAQUA SUPERFINA LARANJA CARDEAL SC 10KG KG (11358),DIVERSOS - GIDEOLI - CERAMICA,,220,"R$ 1.546,01",100.0%,9586,08/09/2017,01/01/2000,Crítico,100.0%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
458,1,EL-CURVA 90 PVC ELETRODUTO 1/2 PESADO PC (3975),ELETRICO - ELETRODUTO - PVC,,49,"R$ 31,85",100.0%,9586,15/12/2016,01/01/2000,Crítico,100.0%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
1372,1,TUBO FOFO FLANGE/FLANGE DN100 L=1000 PC (14047),TUBO - FERRO FUNDIDO - K7,SAINT GOBAIN,1,"R$ 893,36",100.0%,9586,27/01/2021,01/01/2000,Crítico,100.0%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
1569,1,VALV.P/ TAMBOR CLASSE 125S/200W<PN16> 2 FIG 86 PC (8446),VALV - INDUSTRIAIS - DIVERSOS,,4,"R$ 525,46",100.0%,9586,10/10/2016,01/01/2000,Crítico,100.0%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
507,1,ESMERILHADEIRA IND 9 DWE490 B-2 PC (14109),FERRAMENTAS - MANUAL - DIV,DEWALT,1,"R$ 825,00",100.0%,9586,25/02/2021,01/01/2000,Crítico,100.0%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
953,1,PLACA DE PRESSAO F12-080 PARKER 3792773 UN (12887),PNHD - HIDRAULICA - CONEXOES,PARKER,4,"R$ 7.317,49",93.6%,9586,16/09/2019,01/01/2000,Crítico,96.2%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
656,1,GROOVE-TE RANHURA 90 UL/FM 4 (114MM) PC (10927),CONX - FERRO FUNDIDO - GROOVE,VIKING,9,"R$ 450,42",85.4%,9586,23/03/2018,01/01/2000,Crítico,91.2%,B (20% do valor),Liquidação forte / devolução / sucatear / kit
1475,1,VALV.ESF.MB BRONZE 1552 2.1/2 - DECA PC (497),VALV - ESFERA - BRONZE,DECA,1,"R$ 62,09",70.4%,9586,10/10/2016,01/01/2000,Crítico,82.2%,B (20% do valor),Liquidação forte / devolução / sucatear / kit
34,1,ANEL DE BORRACHA 2GS 200MM PC (2166),CONX - PVC - ACESSORIOS,,140,"R$ 2.684,88",66.9%,9586,24/05/2022,01/01/2000,Crítico,80.2%,A (70% do valor),Liquidação forte / devolução / sucatear / kit
14,1,ABRAC. UNIAO HORIZONTAL T1 ZINCADO 1.1/4 (1/8x25) PC (14145),FIXA - ACESS - ABRACADEIRAS,SUPERA,100,"R$ 1.093,09",61.4%,9586,24/06/2021,01/01/2000,Crítico,76.8%,A (70% do valor),Liquidação forte / devolução / sucatear / kit
133,1,BARRA CHATA NYLON 16 X 25 X 1000MM PC (103),FERR - PLASTICOS IND - BARRAS,,2,"R$ 59,41",100.0%,3206,19/06/2017,20/06/2017,Crítico,73.4%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
1547,1,VALV.GLOBO BRONZE 150 FIG 001 4 BSP PC (2926),VALV - GLOBO - BRONZE,MIPEL,1,"R$ 1.505,02",54.1%,9586,10/10/2016,01/01/2000,Crítico,72.5%,A (70% do valor),Liquidação forte / devolução / sucatear / kit
981,1,PORCA SEXT ACO POLIDO UNC 1.1/2 - IMP PC (17418),FIXA - PARAFUSOS - PORCAS,BELENUS,60,"R$ 457,67",53.6%,9586,12/07/2024,01/01/2000,Crítico,72.2%,A (70% do valor),Liquidação forte / devolução / sucatear / kit
918,1,PEAD-TE COMPRESSAO 90MM PC (2546),CONX - PVC - PEAD,CEPEX,3,"R$ 658,29",53.1%,9586,18/03/2020,01/01/2000,Crítico,71.9%,A (70% do valor),Liquidação forte / devolução / sucatear / kit
1179,1,"SERR-TAMPAO A/C OD 25,40MM (1) PC (12243)",CONX - CARBONO - SERRALHERIA,GIDEOLI,99,"R$ 23,61",100.0%,2528,03/12/2018,29/04/2019,Crítico,70.5%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
1346,1,"TINTA ESMALTE IMOB. AB PRM ER VERMELHO 3,6 LT UN (8492)",INDI - QUIMICOS - TINTA,,1,"R$ 74,00",100.0%,2370,04/10/2019,04/10/2019,Crítico,69.9%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
693,1,"INC-SINAL.FOTOL.30HR SAIDA EMERG.P/ DIREITA 49,8CM X 47,5CM - DUPLA FACE PC (12297)",INCN - ACESSORIOS - SINALIZACAO,ALIEX,12,"R$ 890,37",49.5%,9586,06/03/2019,01/01/2000,Crítico,69.7%,A (70% do valor),Liquidação forte / devolução / sucatear / kit
467,1,EL-TOMADA LINHA A 2P+T C/PLACA MARFIM 10A PC (9753),ELETRICO - ACESS - CAIXAS,,3,"R$ 17,41",100.0%,2118,10/06/2020,12/06/2020,Crítico,68.8%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
1367,1,"TUBO ALUMINIO RED.SCH 40 1.1/2 (48,30 X 3,68 X 6000) BR (12377)",ALUM - PERFIL - REDONDO,GIDEOLI,1,"R$ 182,29",100.0%,1859,23/05/2019,26/02/2021,Crítico,67.8%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
1464,1,VALV.DE FECHAMENTO EM LINHA - TUBO10 HVFF10-10 PC (171),PNHD - PNEUMATICA - VALVULAS,STNC,4,"R$ 121,83",100.0%,1835,17/01/2020,22/03/2021,Crítico,67.7%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
1638,1,VISOR EM CRISTAL TEMPERADO 240X190X15MM PC (6207),INDI - ACESSORIOS - VISORES,VIDRAK,10,"R$ 678,86",45.4%,9586,24/10/2019,01/01/2000,Crítico,67.2%,A (70% do valor),Liquidação forte / devolução / sucatear / kit
1170,1,REGISTRO ESF. PVC ROSCA  1/2 - VIQUA PC (4718),VALV - ESFERA - PVC,VIQUA,48,"R$ 173,76",100.0%,1712,22/10/2019,23/07/2021,Crítico,67.1%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
1408,1,TUBO PVC SOLDAVEL  85MM X 6M - CORR BR (1414),TUBO - PVC - PREDIAL,CORR PLASTIK,3,"R$ 268,10",100.0%,1699,06/02/2020,05/08/2021,Crítico,67.1%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
71,1,AR-ARTICULACAO TRAS. MACHO 080 ISO-6431 CA-80 Imp. PC (11029),PNHD - PNEUMATICA - CILINDROS,,2,"R$ 577,58",87.2%,3323,20/02/2017,23/02/2017,Crítico,66.2%,B (20% do valor),Liquidação forte / devolução / sucatear / kit
1544,1,VALV.GLOBO AERO FOFO/INOX PN 16 2 PC (685),VALV - GLOBO - FERRO FUNDIDO,MP,1,"R$ 1.135,51",100.0%,1461,17/06/2021,31/03/2022,Crítico,66.1%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
1385,1,"TUBO INOX RET. 200 C/C  60 X 40 X 1,20MM MT (9238)",TUBO - INOX - RETANGULAR,IMPORTADO,24,"R$ 415,20",100.0%,1345,31/05/2019,25/07/2022,Crítico,65.6%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
885,1,"PARAF ROSCA MAQ.CAB.CHATA FENDA BICR. M6-1,00 X 20 PC (13330)",FIXA - PARAFUSOS - ROSCA MAQUINA,BELENUS,70,"R$ 5,94",100.0%,1259,30/11/2019,19/10/2022,Crítico,65.2%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
961,1,POLIURETANO COMP. (B) ISO 520 - ENDURECEDOR KG (8199),INDI - ISOLAMENTO - OUTROS,UNIVARSOLUTIONS,4,"R$ 135,09",100.0%,1174,16/12/2021,12/01/2023,Crítico,64.9%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
716,1,INC-VALV.GLOBO HIDRANTE BRONZE GPM 117 90GR 200LBS 2.1/2 BSP PC (1483),INCN - HIDRAULICA - VALVULAS,GPM,2,"R$ 485,54",41.3%,9586,12/09/2024,01/01/2000,Crítico,64.8%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
243,1,CHAPA EXP.GALV. 1/4 X 1200 X 3000MM - F 38 X 75 PC (13208),CHPP - EXPANDIDAS - GALVANIDAS,GIDEOLI,1,"R$ 449,67",100.0%,1076,29/06/2020,20/04/2023,Crítico,64.5%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
1397,1,TUBO PELBD DN16 PN20 100M RL (9064),TUBO - PVC - IRRIGACAO,,1,"R$ 83,14",40.5%,9586,13/09/2017,01/01/2000,Crítico,64.3%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
524,1,FIX - BUCHA PLASTICA 12MM PC (6495),FIXA - PARAFUSOS - BUCHA,BELENUS,500,"R$ 49,94",100.0%,803,05/09/2022,18/01/2024,Crítico,63.4%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
915,1,PASTA ANTIRESPINGO C/SILICONE PC (13814),INDI - VEDACAO - QUIMICOS,LEDAN,3,"R$ 36,08",100.0%,748,09/09/2020,13/03/2024,Crítico,63.1%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
1635,1,VARETA SOLDA PRATA 25% PÇ (17075),CONS - SOLDA - VARETA TIG,,5,"R$ 176,64",100.0%,721,05/04/2024,09/04/2024,Crítico,63.0%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
1332,1,"TELA ACO INOX AISI 304 M60 FIO 0,18 C/100CM LARG MT (14707)",FERR - TELA/GRADE - MOEDA,GIDEOLI,7,"R$ 779,39",100.0%,685,26/09/2024,15/05/2024,Alto,62.9%,C (10% do valor),Campanha comercial agressiva
1382,1,"TUBO INOX QUADR. 200 C/C  50 X 50 X 1,20MM - PE - IMP MT (10778)",TUBO - INOX - QUADRADO,IMPORTADO,36,"R$ 837,77",100.0%,641,13/02/2024,28/06/2024,Alto,62.7%,C (10% do valor),Campanha comercial agressiva
651,1,"GONZO INOX 304 BATON 25,40MM-1 CONJ PC (13832)",FIXA - ACESS - DOBRADICAS,GIDEOLI,6,"R$ 441,01",100.0%,620,10/10/2022,19/07/2024,Alto,62.6%,C (10% do valor),Campanha comercial agressiva
250,1,"CINTA DE ALUMINIO 12,75(1/2) X 100MTS 1,75KG/RL KG (735)",INDI - ISOLAMENTO - ACESS,GIDEOLI,3,"R$ 100,18",100.0%,480,08/08/2019,06/12/2024,Obsoleto,62.0%,C (10% do valor),Promover com desconto controlado
686,1,INC-MANG.INCENDIO TIPO 2 - 2.1/2 X 30 MT - SUPERFLEX PC (3331),INCN - HIDRAULICA - MANGUEIRAS,COUTOFLEX,13,"R$ 7.429,16",100.0%,442,13/02/2025,13/01/2025,Obsoleto,61.8%,C (10% do valor),Promover com desconto controlado
513,1,ESTOPA PANO COSTURADO QUADRADO KG (16920),FERRAMENTAS - ACESS - LIXA,,2,"R$ 8,70",100.0%,375,22/02/2024,21/03/2025,Obsoleto,61.6%,C (10% do valor),Promover com desconto controlado
644,1,FLANGE INOX 316/L SO RF ANSI B16.5 150LBS 4 - I.D PC (17638),CONX - INOX - FLANGES,IMP.GIDEOLI,20,"R$ 21.680,94",35.8%,9586,18/12/2024,01/01/2000,Crítico,61.5%,A (70% do valor),Liquidação forte / devolução / sucatear / kit
730,1,JUNTA EXP.BORR.EPDM FLG ANSI 150# WCB 10 Imp. PC (15969),ACESS - JUNTAS - EXPANSAO,MIPEL,2,"R$ 2.580,43",32.9%,9586,16/01/2024,01/01/2000,Crítico,59.7%,A (70% do valor),Liquidação forte / devolução / sucatear / kit
1370,1,TUBO FLEXIVEL MET.INOX  3/4 X  300MM MACHO FIXOXFEMEA GIRAT.SAE45 BSP PC (17490),ACESS - FLEXIVEL - TUBO,HAENKE,1,"R$ 172,01",30.6%,9586,30/08/2024,01/01/2000,Crítico,58.4%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
1483,1,VALV.ESF.TRIP.CF8 F150 5 SI PR TR TUBO PC (451),VALV - ESFERA - CF8,MGA,3,"R$ 9.139,08",28.8%,9586,10/05/2024,01/01/2000,Crítico,57.3%,A (70% do valor),Liquidação forte / devolução / sucatear / kit
1634,1,VALVULA PROTEFLUX WM40022968 UN (12847),CONS - ACESS - OXICORTE,WHITE MARTINS,15,"R$ 686,72",27.6%,9586,02/09/2019,01/01/2000,Crítico,56.5%,A (70% do valor),Liquidação forte / devolução / sucatear / kit
1603,1,VALV.RET.UNIFLAP WAFER CF8M/CF8M/EPDM 4 (100MM) PC (9490),VALV - RETENCAO - INOX,MP,2,"R$ 2.971,90",26.7%,9586,27/02/2020,01/01/2000,Crítico,56.0%,A (70% do valor),Liquidação forte / devolução / sucatear / kit
1457,1,VALV.BORB. 200MM (8) FOFO/EPDM/CF8 CAIXA.REDUT. IMP PC (17602),VALV - BORB - IND,IMPORTADO,2,"R$ 2.561,22",89.5%,561,18/03/2025,16/09/2024,Alto,56.0%,B (20% do valor),Campanha comercial agressiva
1340,1,TERM.ANGULAR INOX 304  63MM 0-300C H/200MM R.1/2 BSP TIPO ESPETO PC (15985),INDI - MEDICAO - TEMPERATURA,FAMABRAS,5,"R$ 1.388,12",24.9%,9586,30/05/2023,01/01/2000,Crítico,55.0%,A (70% do valor),Liquidação forte / devolução / sucatear / kit
238,1,"CHAPA  INOX 200  4,00 X 1220 X 3000MM BQ I.D. KG (14223)",CHPP - INOX - LISO,IMP.GIDEOLI,1621,"R$ 26.128,74",86.2%,609,26/10/2021,30/07/2024,Alto,54.2%,B (20% do valor),Campanha comercial agressiva
1182,1,SF.CONJUNTO DA SEDE FTV-172 1 PC (1476),INDI - ACESSORIOS - PURGADORES,,3,"R$ 803,67",23.4%,9586,29/07/2016,01/01/2000,Crítico,54.0%,A (70% do valor),Liquidação forte / devolução / sucatear / kit
653,1,GRAMPO PESADO PARA CABO DE ACO 3/16 PC (11342),FERRAMENTAS - ACESS - CABO DE ACO,SIVA,235,"R$ 510,23",77.6%,1735,03/08/2017,30/06/2021,Crítico,53.8%,B (20% do valor),Liquidação forte / devolução / sucatear / kit
463,1,EL-TAMPA CEGA P/CONDULETE ALUMINIO 1/2 - 3/4 PC (10909),ELETRICOS - ACESS - CONDULETE,DAISA,34,"R$ 84,30",66.6%,3136,06/02/2024,29/08/2017,Crítico,53.0%,A (70% do valor),Liquidação forte / devolução / sucatear / kit
658,1,HASTE USINADA INOX 304 7/8 PC (2538),VALV - ESFERA - ACESSORIOS,MGA,10,"R$ 645,50",20.9%,9586,03/05/2023,01/01/2000,Crítico,52.5%,A (70% do valor),Liquidação forte / devolução / sucatear / kit
460,1,"ELETRODO 316L-17 AWS 5.4 ACO INOX RUT. 3,25MM KG (16628)",CONS - SOLDA - ELETRODO,MIRA,20,"R$ 1.819,29",83.7%,413,29/04/2024,11/02/2025,Obsoleto,51.9%,B (20% do valor),Promover com desconto controlado
127,1,AUTOJET MAXXI PC (13782),INDI - MEDICAO - VAZAO,GIDEOLI,2,"R$ 400,78",77.9%,1176,09/11/2020,10/01/2023,Crítico,51.6%,B (20% do valor),Liquidação forte / devolução / sucatear / kit
1595,1,VALV.RET.PORT.WCB ANSI 150 2.1/2 PC (15584),VALV - RETENCAO - WCB,NACIONAL,1,"R$ 2.055,33",18.9%,9586,23/01/2023,01/01/2000,Crítico,51.3%,B (20% do valor),Liquidação forte / devolução / sucatear / kit
361,1,CPVC IND VALV.ESFERA SCH80 SOLDAVEL VITON 2.1/2 PC (13583),CONX - PVC - INDUSTRIAL,CEPEX,2,"R$ 1.928,73",18.7%,9586,26/09/2024,01/01/2000,Crítico,51.2%,A (70% do valor),Liquidação forte / devolução / sucatear / kit
1341,2,TERM.ANGULAR INOX 304 100MM 0-150C H/300MM R1/2 NPT PC (1058),INDI - MEDICAO - TEMPERATURA,FAMABRAS,3,"R$ 1.008,25",18.1%,9586,28/02/2023,01/01/2000,Crítico,50.9%,A (70% do valor),Liquidação forte / devolução / sucatear / kit
1404,1,TUBO PVC COLETOR 400MM - CORR BR (1750),TUBO - PVC - INFRA,CORR PLASTIK,1,"R$ 1.819,09",74.8%,1314,12/07/2022,25/08/2022,Crítico,50.4%,B (20% do valor),Liquidação forte / devolução / sucatear / kit
951,1,PINO ELASTICO 13 X 100MM PC (6055),DIVERSOS - PRODUTOS - REVENDA,,10,"R$ 224,17",17.2%,9586,08/02/2020,01/01/2000,Crítico,50.3%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
916,2,PEAD-ADAPTADOR DE COMPRESSAO 90MM X 3 PC (13501),CONX - PVC - PEAD,CEPEX,2,"R$ 206,89",16.7%,9586,18/03/2020,01/01/2000,Crítico,50.0%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
908,1,PARAF SEXT ZINC UNF 1/2 X 2 RI PC (17062),FIXA - PARAFUSOS - SEXTAVADO,BELENUS,200,"R$ 306,46",16.4%,9586,11/03/2024,01/01/2000,Crítico,49.9%,A (70% do valor),Liquidação forte / devolução / sucatear / kit
1590,1,VALV.RET.P/AMONIA WCB TIPO PISTAO 4 VRT-100 PC (17052),VALV - GLOBO - REFRIGERACAO,VALVUGAS,1,"R$ 2.549,46",16.3%,9586,08/03/2024,01/01/2000,Crítico,49.8%,A (70% do valor),Liquidação forte / devolução / sucatear / kit
1471,1,VALV.ESF.BIP.WCB F150  8 PP TR AC/P.B72H CX.Redutora PC (2738),VALV - ESFERA - WCB,MGA,2,"R$ 27.748,78",78.7%,559,30/09/2024,18/09/2024,Alto,49.5%,B (20% do valor),Campanha comercial agressiva
913,1,PARAF.ESTOJO A/C A193 B7 ZINC. UNC 1/2 X 4 C/ PO+AR CJ (9156),FIXA - PARAFUSOS - BARRAS,METHAFIX,4,"R$ 64,80",15.3%,9586,24/07/2023,01/01/2000,Crítico,49.2%,B (20% do valor),Liquidação forte / devolução / sucatear / kit
1570,2,VALV.PASS.ANGULAR WCB P/AMONIA SOLDA  3/4 3050MF-20 PC (15873),VALV - GLOBO - REFRIGERACAO,VALVUGAS,5,"R$ 2.360,66",15.1%,9586,26/04/2023,01/01/2000,Crítico,49.0%,A (70% do valor),Liquidação forte / devolução / sucatear / kit
108,1,"AR-TUBO NYLON POLIAMIDA 12  06MM X 04MM X 1,00MM PRETO MT (13268)",PNHD - PNEUMATICA - TUBOS,ROTPLAST,162,"R$ 385,07",77.2%,623,25/11/2019,16/07/2024,Alto,48.9%,B (20% do valor),Campanha comercial agressiva
1006,1,PPR AZUL JOELHO 90 160MM PC (15687),TUBO - PVC - PPR,TOP FUSION,14,"R$ 4.219,92",14.6%,9586,09/05/2023,01/01/2000,Crítico,48.8%,A (70% do valor),Liquidação forte / devolução / sucatear / kit
260,2,CONJ.VEDACAO P/VALV.VEB F150 PTFE REF. 3 MGA - PRETO CJ (16086),VALV - ESFERA - ACESSORIOS,MGA,3,"R$ 439,01",14.2%,9586,14/07/2023,01/01/2000,Crítico,48.5%,A (70% do valor),Liquidação forte / devolução / sucatear / kit
1576,1,VALV.RED.PRESSAO 3010-MP ROSCA BSP  3/4 MOLA B PC (6822),VALV - CONTROLADORA - RED.PRESSAO,SF.BRASIL,1,"R$ 2.997,23",14.1%,9586,28/09/2020,01/01/2000,Crítico,48.5%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
907,2,PARAF SEXT ZINC UNF 1/2 X 1.1/2 RI PC (17061),FIXA - PARAFUSOS - SEXTAVADO,BELENUS,200,"R$ 251,18",13.5%,9586,11/03/2024,01/01/2000,Crítico,48.1%,A (70% do valor),Liquidação forte / devolução / sucatear / kit
70,2,AR-ARTICULACAO MACHO ISO-15552 50MM PC (17425),PNHD - PNEUMATICA - CILINDROS,STNC,2,"R$ 84,85",12.8%,9586,15/07/2024,01/01/2000,Crítico,47.7%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
770,1,LUVA FOFO LCJE 150MM PC (1704),CONX - FERRO FUNDIDO - SANEAMENTO,ANGOLINI,1,"R$ 271,13",12.5%,9586,15/03/2018,01/01/2000,Crítico,47.5%,B (20% do valor),Liquidação forte / devolução / sucatear / kit
851,1,"MOTOBOMBA FSG-IN 1,5 CV R-130 MONOF110/220V 60HZ IP21-GCB STD - FAMAC PC (16453)",INCN - HIDRAULICA - MOTOBOMBAS,FAMAC,1,"R$ 1.722,00",12.4%,9586,29/09/2023,01/01/2000,Crítico,47.4%,B (20% do valor),Liquidação forte / devolução / sucatear / kit
774,1,LUVA GALV. CL 300# 1.1/2  NPT PC (3942),CONX - FERRO MALEAVEL - TUPY,TUPY,50,"R$ 2.886,75",12.1%,9586,31/01/2022,01/01/2000,Crítico,47.3%,A (70% do valor),Liquidação forte / devolução / sucatear / kit
1593,2,VALV.RET.PORT.WCB ANSI 150 1 IMP PC (17058),VALV - RETENCAO - WCB,IMPORTADO,2,"R$ 1.300,55",11.9%,9586,11/03/2024,01/01/2000,Crítico,47.2%,B (20% do valor),Liquidação forte / devolução / sucatear / kit
912,2,PARAF.ESTOJO A/C A193 B7 ZINC. UNC 1/2 X 3 C/ PO+AR CJ (5025),FIXA - PARAFUSOS - BARRAS,METHAFIX,4,"R$ 48,76",11.5%,9586,24/07/2023,01/01/2000,Crítico,46.9%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
